Platform,dummy_HBO,id,title,exclusive,type,dummy_movie,description,release_year,L10Y_vs_old,L10Y_vs_old dummy,release_year_segments,age_certification,age_certification_segments,dummy_mature,dummy_NR,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Netflix,0,tm305129,Sing 2,exclusive,MOVIE,1,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021,L10Y,1,New,PG,youth,0,0,110,"['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",['US'],,tt6467266,7.4,58423,545.619,8.052
Netflix,0,ts11188,The Flash,exclusive,SHOW,0,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",2014,L10Y,1,New,TV-14,mature,1,0,42,"['drama', 'scifi', 'family', 'animation', 'action']",['US'],8,tt3107288,7.6,341393,537.156,7.8
HBO Max,1,ts222614,Superman & Lois,exclusive,SHOW,0,"After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures and complexities that come with being working parents in today's society.",2021,L10Y,1,New,TV-14,mature,1,0,46,"['scifi', 'drama', 'romance', 'action']",['US'],2,tt11192306,7.8,29092,527.634,8.1
HBO Max,1,ts2,Game of Thrones,exclusive,SHOW,0,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011,Old,0,New,TV-MA,mature,1,0,58,"['scifi', 'action', 'drama', 'fantasy', 'romance']",['US'],8,tt0944947,9.2,1983794,492.101,8.4
Netflix,0,ts225855,All of Us Are Dead,exclusive,SHOW,0,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,2022,L10Y,1,New,TV-MA,mature,1,0,61,"['action', 'drama', 'scifi', 'horror', 'thriller', 'fantasy']",['KR'],2,tt14169960,7.5,45027,491.672,8.452
Netflix,0,ts21247,The Vampire Diaries,exclusive,SHOW,0,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",2009,Old,0,New,TV-14,mature,1,0,42,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",['US'],8,tt1405406,7.7,314422,479.354,8.348
Netflix,0,ts237109,Control Z,exclusive,SHOW,0,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",2020,L10Y,1,New,TV-MA,mature,1,0,38,"['drama', 'thriller']",['MX'],3,tt11937662,6.9,8895,473.002,8.2
Netflix,0,tm1191224,365 Days: This Day,exclusive,MOVIE,1,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022,L10Y,1,New,NC-17,mature,1,0,111,"['romance', 'drama']",['PL'],,tt12996154,2.5,16587,449.292,5.8
HBO Max,1,ts87074,Euphoria,exclusive,SHOW,0,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",2019,L10Y,1,New,TV-MA,mature,1,0,58,['drama'],['US'],2,tt8772296,8.4,156483,445.399,8.4
Netflix,0,tm1044289,Interceptor,exclusive,MOVIE,1,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,2022,L10Y,1,New,PG-13,mature,1,0,98,"['thriller', 'action', 'drama']",['AU'],,tt14174940,4.5,20007,438.512,6.13
Netflix,0,ts331439,My Little Pony: Make Your Mark,exclusive,SHOW,0,The series will center on the adventures of Sunny Starscout and her friends after the events depicted in the film.,2022,L10Y,1,New,TV-Y,youth,0,0,45,"['comedy', 'scifi', 'music', 'animation', 'drama', 'family', 'fantasy']",['US'],1,tt14134334,6,136,400.035,8.1
Netflix,0,ts76645,The Umbrella Academy,exclusive,SHOW,0,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019,L10Y,1,New,TV-14,mature,1,0,50,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],3,tt1312171,8,230211,388.952,8.7
Netflix,0,ts21465,Supernatural,exclusive,SHOW,0,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005,Old,0,New,TV-14,mature,1,0,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15,tt0460681,8.4,434081,388.093,8.278
HBO Max,1,tm372685,Death on the Nile,exclusive,MOVIE,1,Belgian sleuth Hercule Poirot boards a glamorous river steamer with enough champagne to fill the Nile. But his Egyptian vacation turns into a thrilling search for a murderer when a picture-perfect couple’s idyllic honeymoon is tragically cut short.,2022,L10Y,1,New,PG-13,mature,1,0,127,"['thriller', 'crime', 'drama']","['GB', 'US']",,tt7657566,6.6,18325,386.008,6.5
Netflix,0,ts220305,Squid Game,exclusive,SHOW,0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.",2021,L10Y,1,New,TV-MA,mature,1,0,55,"['action', 'thriller', 'drama']",['KR'],2,tt10919420,8,426967,361.925,7.821
HBO Max,1,ts21218,The Mentalist,exclusive,SHOW,0,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",2008,Old,0,New,TV-14,mature,1,0,44,"['drama', 'crime', 'thriller']",['US'],7,tt1196946,8.1,179569,356.313,8.4
Netflix,0,ts4,Breaking Bad,exclusive,SHOW,0,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008,Old,0,New,TV-MA,mature,1,0,48,"['drama', 'crime', 'thriller']",['US'],5,tt0903747,9.5,1775990,353.848,8.79
HBO Max,1,tm855362,Nightmare Alley,exclusive,MOVIE,1,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,2021,L10Y,1,New,R,mature,1,0,150,"['thriller', 'action', 'fantasy', 'horror', 'crime', 'drama']",['US'],,tt7740496,7.1,119740,342.803,7.1
Netflix,0,ts53023,Riverdale,exclusive,SHOW,0,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",2017,L10Y,1,New,TV-14,mature,1,0,42,"['crime', 'drama', 'thriller', 'romance']",['US'],6,tt5420376,6.6,141250,341.862,8.531
Netflix,0,tm1003630,After We Fell,exclusive,MOVIE,1,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",2021,L10Y,1,New,R,mature,1,0,99,"['romance', 'drama']","['FR', 'US']",,tt13069986,4.6,13221,341.558,7.2
Netflix,0,ts21081,Pablo Escobar: The Drug Lord,exclusive,SHOW,0,"Pablo is a man with a natural ability for business. Early in his life, Pablo is introduced to the business of cocaine and the power it yields. A young life of crime lands Pablo in and out of jail as he builds is criminal empire. Pablo expands his power through politics but it is not long before his conflicts as a Congressman and a drug lord collide. Pablo has his enemies executed, but not before the United States activates its own war on the Medellin cartel.",2012,Old,0,New,TV-14,mature,1,0,44,"['crime', 'drama', 'thriller', 'history']",['CO'],1,tt2187850,8.4,5019,337.869,7.6
Netflix,0,tm195209,Legend,exclusive,MOVIE,1,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",2015,L10Y,1,New,R,mature,1,0,131,"['thriller', 'crime', 'drama', 'european']","['GB', 'US', 'FR']",,tt3569230,6.9,178601,333.013,6.985
Netflix,0,ts78801,Cobra Kai,exclusive,SHOW,0,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",2018,L10Y,1,New,TV-14,mature,1,0,31,"['action', 'drama', 'sport', 'comedy']",['US'],5,tt7221388,8.5,166830,331.306,8.167
Netflix,0,tm1082564,The Adam Project,exclusive,MOVIE,1,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022,L10Y,1,New,PG-13,mature,1,0,106,"['drama', 'action', 'comedy', 'scifi']",['US'],,tt2463208,6.7,183489,317.154,7.106
HBO Max,1,tm448779,Antlers,exclusive,MOVIE,1,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",2021,L10Y,1,New,R,mature,1,0,99,"['drama', 'horror', 'action', 'crime', 'fantasy', 'thriller']","['US', 'CA', 'MX']",,tt7740510,5.9,32791,315.566,6.4
HBO Max,1,tm305113,Dune,exclusive,MOVIE,1,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021,L10Y,1,New,PG-13,mature,1,0,155,"['scifi', 'action', 'drama']",['US'],,tt1160419,8.1,562797,301.888,7.9
Netflix,0,ts76092,Rosario Tijeras,exclusive,SHOW,0,Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.,2016,L10Y,1,New,TV-MA,mature,1,0,45,"['drama', 'action', 'crime', 'romance', 'thriller']",['MX'],3,tt6340304,6.1,340,293.969,7.4
HBO Max,1,tm893885,Zack Snyder's Justice League,exclusive,MOVIE,1,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021,L10Y,1,New,R,mature,1,0,242,"['fantasy', 'scifi', 'action', 'drama']",['US'],,tt12361974,8,376734,288.082,8.3
Netflix,0,ts340376,The Marked Heart,exclusive,SHOW,0,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,2022,L10Y,1,New,TV-MA,mature,1,0,44,"['thriller', 'drama']",['CO'],2,tt18974572,6.4,1824,273.963,8.074
Netflix,0,ts82915,Sex Education,exclusive,SHOW,0,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,2019,L10Y,1,New,TV-MA,mature,1,0,52,"['drama', 'comedy']",['GB'],4,tt7767422,8.3,251168,273.962,8.358
Netflix,0,ts8,Better Call Saul,exclusive,SHOW,0,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015,L10Y,1,New,TV-MA,mature,1,0,49,"['drama', 'crime']",['US'],6,tt3032476,8.8,438575,273.296,8.5
Netflix,0,tm880822,Mobile Suit Gundam Hathaway,exclusive,MOVIE,1,"After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",2021,L10Y,1,New,PG-13,mature,1,0,96,"['scifi', 'animation', 'action', 'drama', 'romance']",['JP'],,tt13288678,6.6,1400,261.753,7.6
Netflix,0,ts81821,The Queen of Flow,exclusive,SHOW,0,"After spending seventeen years in prison unfairly, a talented songwriter seeks revenge on the men who sank her and killed her family.",2018,L10Y,1,New,TV-MA,mature,1,0,45,"['drama', 'family', 'music']",['CO'],2,tt8560918,7.7,1247,257.952,8
Netflix,0,ts255888,First Kill,exclusive,SHOW,0,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter — and both are ready to make their first kill.",2022,L10Y,1,New,TV-MA,mature,1,0,49,"['thriller', 'drama', 'fantasy', 'horror']",['US'],1,tt13315156,6.4,23605,252.955,8.4
Netflix,0,ts20660,Shameless,exclusive,SHOW,0,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011,Old,0,New,TV-MA,mature,1,0,54,"['drama', 'comedy']",['US'],11,tt1586680,8.6,234232,252.934,8.112
Netflix,0,ts216493,The Naked Director,exclusive,SHOW,0,Follows the story of Toru Muranishi's unusual and dramatic life filled with big ambitions as well as spectacular setbacks in his attempt to turn Japan's porn industry on its head.,2019,L10Y,1,New,TV-MA,mature,1,0,50,"['drama', 'comedy']",['JP'],2,tt10477528,7.7,6147,252.688,7.5
Netflix,0,ts22337,NCIS,exclusive,SHOW,0,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",2003,Old,0,New,TV-14,mature,1,0,43,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],20,tt0364845,7.8,143846,251.622,7.6
HBO Max,1,tm168805,The Help,exclusive,MOVIE,1,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",2011,Old,0,New,PG-13,mature,1,0,146,['drama'],['US'],,tt1454029,8.1,449686,250.487,8.2
Netflix,0,ts42218,Sin senos sí hay paraíso,exclusive,SHOW,0,A young woman born in a mafia-controlled town seeks revenge on those who wrongfully harmed and imprisoned her family.,2016,L10Y,1,New,TV-MA,mature,1,0,47,"['action', 'drama', 'romance', 'crime']",['CO'],4,tt5676412,6.5,554,243.868,7.5
Netflix,0,ts297058,The Snitch Cartel: Origins,exclusive,SHOW,0,"In Cali during the '60s and '70s, two brothers juggle family, romance and the joint pursuit of a burning ambition: to rule Colombia's drug industry.",2021,L10Y,1,New,TV-MA,mature,1,0,47,"['crime', 'drama']",['CO'],1,tt14417802,5.6,189,243.02,7.8
Netflix,0,tm426428,After,exclusive,MOVIE,1,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",2019,L10Y,1,New,PG-13,mature,1,0,102,"['drama', 'romance']",['US'],,tt4126476,5.2,53460,238.494,7.166
Netflix,0,tm1107225,Through My Window,exclusive,MOVIE,1,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022,L10Y,1,New,R,mature,1,0,116,"['drama', 'romance', 'comedy']",['ES'],,tt14463484,5.4,9082,236.503,7.48
Netflix,0,ts270910,Vikings: Valhalla,exclusive,SHOW,0,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",2022,L10Y,1,New,TV-MA,mature,1,0,51,"['war', 'action', 'drama', 'history', 'romance']",['US'],1,tt11311302,7.1,34833,236.161,7.98
Netflix,0,tm813695,After We Collided,exclusive,MOVIE,1,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",2020,L10Y,1,New,R,mature,1,0,105,"['drama', 'romance']",['US'],,tt10362466,5,30522,236.101,7.251
Netflix,0,tm1165462,Senior Year,exclusive,MOVIE,1,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,2022,L10Y,1,New,R,mature,1,0,112,"['comedy', 'drama']",['US'],,tt5315212,5.5,34419,232.337,5.9
Netflix,0,ts81064,Legacies,exclusive,SHOW,0,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",2018,L10Y,1,New,TV-14,mature,1,0,41,"['drama', 'scifi', 'fantasy', 'horror']",['US'],4,tt8103070,7.2,30634,230.337,8.5
Netflix,0,tm1185687,Silverton Siege,exclusive,MOVIE,1,"After a failed sabotage mission, a trio of anti-apartheid freedom fighters ends up in a tense bank hostage situation. Based on a true story.",2022,L10Y,1,New,PG-13,mature,1,0,100,"['action', 'crime', 'drama', 'thriller']",['ZA'],,tt18563148,6.2,3434,230.111,6.5
HBO Max,1,ts278961,And Just Like That...,exclusive,SHOW,0,"The series will follow Carrie, Miranda and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s.",2021,L10Y,1,New,TV-MA,mature,1,0,39,"['comedy', 'drama', 'romance']",['US'],2,tt13819960,5.6,25669,228.817,7.7
Netflix,0,ts1639,The Blacklist,exclusive,SHOW,0,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013,L10Y,1,New,TV-14,mature,1,0,43,"['thriller', 'drama', 'crime']",['US'],9,tt2741602,8,242640,227.557,7.6
Netflix,0,ts78305,Elite,exclusive,SHOW,0,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",2018,L10Y,1,New,TV-MA,mature,1,0,48,"['thriller', 'drama', 'crime']",['ES'],5,tt7134908,7.4,75337,224.739,8.1
Netflix,0,ts8146,The 100,exclusive,SHOW,0,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014,L10Y,1,New,TV-14,mature,1,0,42,"['scifi', 'drama', 'action']",['US'],7,tt2661044,7.6,245631,217.82,7.9
HBO Max,1,tm453779,West Side Story,exclusive,MOVIE,1,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",2021,L10Y,1,New,PG-13,mature,1,0,157,"['romance', 'crime', 'drama']",['US'],,tt3581652,7.2,70574,214.767,7.2
Netflix,0,tm1159163,Fistful of Vengeance,exclusive,MOVIE,1,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022,L10Y,1,New,R,mature,1,0,94,"['fantasy', 'action', 'crime', 'drama']",['US'],,tt14158554,4.4,6341,211.567,5.4
Netflix,0,ts273485,Baki Hanma,exclusive,SHOW,0,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",2021,L10Y,1,New,TV-MA,mature,1,0,25,"['animation', 'action', 'drama', 'sport', 'thriller']",['JP'],2,tt13357140,6.6,1685,211.093,8.049
Netflix,0,ts82189,BAKI,exclusive,SHOW,0,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",2018,L10Y,1,New,TV-MA,mature,1,0,24,"['drama', 'animation', 'action', 'crime', 'sport']",['JP'],3,tt6357658,6.7,6041,207.49,8.1
Netflix,0,ts84346,Falsa identidad,exclusive,SHOW,0,"Isabel and Diego, two complete strangers, must assume the identity of a married couple in order to flee the state of Sonora.",2018,L10Y,1,New,TV-14,mature,1,0,43,"['crime', 'action', 'drama', 'thriller']","['US', 'MX']",2,tt8598690,7,358,206.288,7.5
Netflix,0,ts296743,Welcome to Eden,exclusive,SHOW,0,"Are you happy? With this question, Zoa and four other attractive young people, very active on social networks, are invited to the most exclusive party in history on a secret island, organized by the brand of a new drink. What begins as an exciting journey will soon become the journey of a lifetime. But paradise is not really what it seems - Welcome to Eden.",2022,L10Y,1,New,TV-MA,mature,1,0,41,"['action', 'scifi', 'drama', 'thriller']","['ES', 'KN']",1,tt13457822,5.4,4145,198.535,7.3
HBO Max,1,tm177297,Harry Potter and the Deathly Hallows: Part 2,exclusive,MOVIE,1,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",2011,Old,0,New,PG-13,mature,1,0,130,"['fantasy', 'drama']","['GB', 'US']",,tt1201607,8.1,845423,197.66,8.1
